1	0.8993	0.5992	0.5096	0.7406	0.9167	0.9314	0.6782	0.9458	0.9137	0.9113	0.6492	0.7873	0.8868	0.7909	0.8777	0.8766	0.7393	0.9589	0.8154	0.946	0.6095	0.5899	0.7359	0.5749
0.8993	1	0.8554	0.7916	0.952	0.9959	0.7963	0.9191	0.9817	0.9732	0.9935	0.8983	0.9585	0.9683	0.8171	0.9887	0.9904	0.9545	0.9828	0.9758	0.9882	0.8833	0.8396	0.9503	0.8571
0.5992	0.8554	1	0.992	0.9658	0.8566	0.5005	0.9848	0.7881	0.7591	0.8138	0.9936	0.9529	0.8183	0.7825	0.8982	0.8826	0.9603	0.7937	0.8962	0.79	0.9833	0.9961	0.9395	0.9925
0.5096	0.7916	0.992	1	0.9284	0.7917	0.4152	0.9586	0.7129	0.6909	0.7477	0.9759	0.9156	0.7586	0.7385	0.8392	0.8207	0.9252	0.7193	0.8495	0.7156	0.9702	0.9943	0.9059	0.9857
0.7406	0.952	0.9658	0.9284	1	0.9462	0.6284	0.9951	0.9021	0.879	0.9225	0.9858	0.983	0.9074	0.7981	0.9703	0.9664	0.996	0.9006	0.9636	0.9061	0.9759	0.9494	0.9802	0.9676
0.9167	0.9959	0.8566	0.7917	0.9462	1	0.8276	0.9134	0.9834	0.9664	0.9877	0.8948	0.9623	0.9714	0.8579	0.9924	0.9889	0.9464	0.9915	0.9685	0.988	0.8729	0.8438	0.9394	0.8495
0.9314	0.7963	0.5005	0.4152	0.6284	0.8276	1	0.5708	0.813	0.8628	0.8326	0.5546	0.7258	0.8724	0.8659	0.7652	0.7448	0.6462	0.8652	0.7599	0.8244	0.5244	0.5096	0.6682	0.4835
0.6782	0.9191	0.9848	0.9586	0.9951	0.9134	0.5708	1	0.8577	0.8369	0.885	0.9967	0.9761	0.8768	0.786	0.9449	0.9377	0.9914	0.8579	0.9456	0.862	0.9896	0.9715	0.9747	0.9869
0.9458	0.9817	0.7881	0.7129	0.9021	0.9834	0.813	0.8577	1	0.9472	0.9705	0.8291	0.9042	0.9259	0.7813	0.9759	0.982	0.8934	0.993	0.9174	0.9984	0.7987	0.7671	0.8774	0.7739
0.9137	0.9732	0.7591	0.6909	0.879	0.9664	0.8628	0.8369	0.9472	1	0.9929	0.8175	0.9123	0.9837	0.8098	0.9332	0.9342	0.8979	0.9598	0.9624	0.963	0.8138	0.7526	0.9166	0.7739
0.9113	0.9935	0.8138	0.7477	0.9225	0.9877	0.8326	0.885	0.9705	0.9929	1	0.8649	0.9423	0.9824	0.8174	0.9673	0.9687	0.9335	0.9772	0.9764	0.9819	0.8561	0.8026	0.941	0.8227
0.6492	0.8983	0.9936	0.9759	0.9858	0.8948	0.5546	0.9967	0.8291	0.8175	0.8649	1	0.9745	0.8665	0.7953	0.9268	0.9152	0.9851	0.8345	0.9371	0.8347	0.9946	0.9866	0.971	0.995
0.7873	0.9585	0.9529	0.9156	0.983	0.9623	0.7258	0.9761	0.9042	0.9123	0.9423	0.9745	1	0.9531	0.8834	0.9703	0.9561	0.9888	0.922	0.9819	0.9129	0.9639	0.9498	0.985	0.952
0.8868	0.9683	0.8183	0.7586	0.9074	0.9714	0.8724	0.8768	0.9259	0.9837	0.9824	0.8665	0.9531	1	0.8924	0.9442	0.9332	0.927	0.9538	0.9801	0.9424	0.8609	0.8182	0.9446	0.828
0.7909	0.8171	0.7825	0.7385	0.7981	0.8579	0.8659	0.786	0.7813	0.8098	0.8174	0.7953	0.8834	0.8924	1	0.8411	0.8003	0.8081	0.8452	0.8432	0.7893	0.7651	0.8007	0.8128	0.7547
0.8777	0.9887	0.8982	0.8392	0.9703	0.9924	0.7652	0.9449	0.9759	0.9332	0.9673	0.9268	0.9703	0.9442	0.8411	1	0.9971	0.9626	0.9772	0.9602	0.9761	0.9016	0.8812	0.945	0.8861
0.8766	0.9904	0.8826	0.8207	0.9664	0.9889	0.7448	0.9377	0.982	0.9342	0.9687	0.9152	0.9561	0.9332	0.8003	0.9971	1	0.9573	0.9753	0.9542	0.9816	0.8917	0.8609	0.9385	0.874
0.7393	0.9545	0.9603	0.9252	0.996	0.9464	0.6462	0.9914	0.8934	0.8979	0.9335	0.9851	0.9888	0.927	0.8081	0.9626	0.9573	1	0.8972	0.9794	0.9023	0.9823	0.9487	0.9939	0.9698
0.9589	0.9828	0.7937	0.7193	0.9006	0.9915	0.8652	0.8579	0.993	0.9598	0.9772	0.8345	0.922	0.9538	0.8452	0.9772	0.9753	0.8972	1	0.9317	0.9943	0.8041	0.7799	0.8874	0.7784
0.8154	0.9758	0.8962	0.8495	0.9636	0.9685	0.7599	0.9456	0.9174	0.9624	0.9764	0.9371	0.9819	0.9801	0.8432	0.9602	0.9542	0.9794	0.9317	1	0.9328	0.9386	0.8906	0.99	0.9127
0.946	0.9882	0.79	0.7156	0.9061	0.988	0.8244	0.862	0.9984	0.963	0.9819	0.8347	0.9129	0.9424	0.7893	0.9761	0.9816	0.9023	0.9943	0.9328	1	0.8091	0.7711	0.8921	0.7814
0.6095	0.8833	0.9833	0.9702	0.9759	0.8729	0.5244	0.9896	0.7987	0.8138	0.8561	0.9946	0.9639	0.8609	0.7651	0.9016	0.8917	0.9823	0.8041	0.9386	0.8091	1	0.9776	0.9769	0.9968
0.5899	0.8396	0.9961	0.9943	0.9494	0.8438	0.5096	0.9715	0.7671	0.7526	0.8026	0.9866	0.9498	0.8182	0.8007	0.8812	0.8609	0.9487	0.7799	0.8906	0.7711	0.9776	1	0.9332	0.9877
0.7359	0.9503	0.9395	0.9059	0.9802	0.9394	0.6682	0.9747	0.8774	0.9166	0.941	0.971	0.985	0.9446	0.8128	0.945	0.9385	0.9939	0.8874	0.99	0.8921	0.9769	0.9332	1	0.9584
0.5749	0.8571	0.9925	0.9857	0.9676	0.8495	0.4835	0.9869	0.7739	0.7739	0.8227	0.995	0.952	0.828	0.7547	0.8861	0.874	0.9698	0.7784	0.9127	0.7814	0.9968	0.9877	0.9584	1
