Site	Sample	X-Coord	Y-Coord	Li	Ti	V	Cr	Mn	Ni	Ge	As	Se	Rb	Sr	Mo	Sb	Ba	W	U	Ga	Ru	Tl
17	2	81.66	67.71	29	0.12	1.03	0.17	1.11	0.28	0.18	1.7	0.74	6.7	4.9	0.9	0.05	0.09	0.21	0.35	14	1	11.7
18	1	12.48	29.54	235	0.61	2.09	0.41	0.17	0.16	1.76	18.4	0.29	28.8	117	12.2	0.4	18.3	2.74	9.84	75	2.8	84.6
18	2	12.48	29.54	235	0.6	2.11	0.42	0.16	0.15	1.79	18.5	0.32	28.6	117	12.3	0.39	18.7	2.77	9.83	75	2.2	82.2
18	3	12.48	29.54	234	0.46	2.12	0.48	1.36	0.12	1.74	19.7	0.84	28.6	121	12.2	0.41	16.7	2.82	8.53	68	2.4	132
18	4	12.48	29.54	239	1.78	2.07	0.39	0.06	0.08	1.79	19.8	0.47	29.3	119	12.2	0.43	17.6	2.88	9.21	76	2.1	159
18	5	12.48	29.54	220	0.3	2.06	0.34	1.18	0.12	1.66	18.8	0.74	26.3	110	11.6	0.39	16	2.84	8.34	69	1.9	140
18	6	12.48	29.54	240	1.56	2.04	0.39	0.07	0.08	1.82	20.1	0.42	28.8	115	12.2	0.4	16.4	2.92	8.63	75	1.4	156
19	1	10.96	23.3	129	0.26	1.72	0.3	0.05	0.03	1.17	23.1	0.6	11.6	21	9.2	0.5	0.48	1.63	5.55	83	2.3	48.1
19	2	10.96	23.3	126	0.61	2.28	0.58	0.34	0.07	1.28	26.6	1.02	13.1	22.5	10	0.56	0.49	1.57	5.54	100	1.7	51.9
19	3	10.96	23.3	128	0.45	1.81	0.36	0.29	0.25	1.14	23.7	0.53	12.2	21.1	9.2	0.53	0.53	1.6	5.97	83	2.4	18.5
20	1	14.18	35.23	143	0.7	2.38	1.33	0.05	0.13	1.07	7.5	0.5	12.4	85.3	8.1	0.19	4.97	0.52	9.28	37	2.7	19.4
20	2	14.18	35.23	146	0.59	2.26	1.32	0.05	0.16	1.06	7.2	0.54	12.5	87.5	8.2	0.19	4.89	0.52	9.53	35	2.9	21.6
21	1	14.56	37.43	147	0.4	2.26	1.18	0.37	0.07	0.98	7.2	0.49	13.1	82.2	8.1	0.18	4.38	0.53	9.49	33	2.6	25.1
22	1	94.14	41.83	12	4.1	1.4	0.09	1.39	0.09	0.04	2	0.56	7.1	6.2	0.7	1.94	0.34	0.01	0.52	76	0.6	42.9
