0.208	0.250	0.542	0.237	0.875	0.292	0.284	0.925	0.343	0.373
0.318	0.318	0.545	0.428	1.000	0.318	0.296	0.796	0.444	0.537
0.174	0.304	0.391	0.375	0.913	0.304	0.297	0.946	0.405	0.486
0.259	0.370	0.370	0.859	0.852	0.333	0.500	0.591	0.591	0.818
0.250	0.350	0.500	0.615	0.900	0.351	0.434	0.783	0.478	0.652
0.316	0.421	0.474	0.736	1.158	0.421	0.500	0.675	0.500	0.775
0.136	0.409	0.273	0.469	1.000	0.136	0.269	0.769	0.327	0.423
0.192	0.308	0.269	0.628	0.923	0.154	0.308	0.795	0.308	0.436
0.261	0.261	0.261	0.545	0.956	0.261	0.296	0.833	0.333	0.407
0.259	0.370	0.556	0.444	0.852	0.296	0.372	0.824	0.431	0.706

