ID	East-West	North-South	Depth, ft
200	46.0691	80.70451	-2177
201	45.28102	80.21316	-2173
202	46.03981	80.20211	-2154
203	47.01466	80.1618	-2156
204	46.77638	79.42016	-2174
205	45.76051	78.96464	-2220
206	46.76539	78.91195	-2218
207	48.97657	79.09431	-2177
208	69.50123	70.84243	-1836
209	70.08155	74.59097	-1712
210	64.60499	75.44448	-1840
211	65.13063	75.95336	-1796
212	58.87257	75.83143	-2010
213	55.90748	76.16833	-2121
214	57.17945	77.15644	-2064
215	54.95533	77.90071	-2097
216	52.10279	83.21061	-1992
217	55.14454	83.88401	-1912
218	63.03834	80.72032	-1802
219	63.19581	78.99929	-1796
220	65.98658	79.70811	-1674
221	70.18873	79.58807	-1586
222	68.97413	80.60252	-1594
223	69.31056	83.84255	-1501
224	68.06715	83.87084	-1550
225	69.30934	84.7929	-1468
226	66.29908	82.85838	-1624
227	66.36866	84.90292	-1575
228	64.36012	84.93606	-1647
229	59.1941	86.04716	-1739
230	56.4961	87.5978	-1771
231	53.54786	89.166	-1732
232	55.58326	91.1051	-1682
233	58.34986	91.77813	-1594
234	59.3423	91.77359	-1568
235	59.5525	91.00846	-1549
236	60.52076	90.96192	-1570
237	61.48585	88.97892	-1579
238	62.53053	89.67343	-1538
239	63.45851	88.67065	-1541
240	65.43727	88.63127	-1507
241	66.19166	87.63409	-1505
242	64.94313	87.14253	-1544
243	64.66334	86.1856	-1598
244	64.37037	85.91635	-1610
245	60.89454	97.68678	-1307
246	63.2151	96.90687	-1283
247	62.91749	95.64532	-1332
248	59.49122	96.72877	-1384
249	58.17921	94.51553	-1494
250	59.90675	94.23686	-1462
251	65.13526	95.34356	-1280
252	65.18727	96.83793	-1232
253	65.66603	96.32453	-1240
254	66.15431	97.80122	-1186
255	67.14137	97.29467	-1195
256	66.40626	97.04273	-1205
257	66.67652	96.29591	-1225
258	67.62721	95.78312	-1221
259	68.6819	98.24702	-1151
260	69.66847	98.23626	-1134
261	69.63478	96.69996	-1175
262	68.34596	94.51083	-1252
263	69.53712	93.72326	-1233
264	70.01734	91.97859	-1254
265	69.18482	88.51063	-1388
266	60.34498	92.71321	-1499
267	60.84767	92.22975	-1510
268	61.33277	91.74626	-1528
269	61.81788	91.17301	-1511
270	61.85108	93.18724	-1443
271	62.82057	92.17829	-1453
272	63.26344	91.66485	-1460
273	63.81422	91.12162	-1458
274	64.25123	90.61436	-1474
275	64.75392	90.14256	-1470
276	63.33888	93.67948	-1374
277	63.81739	93.15403	-1378
278	64.34425	92.6706	-1404
