d18O,d2H
-7.98710283144735,-71.8549622132703
-7.61896076942774,-47.1885432209366
-7.7354350941345,-49.9280886906149
-7.61646489104116,-54.5909211971901
-7.68967732371399,-57.2498918001132
-7.52698302888548,-43.4283827723585
-7.32933488165241,-47.5196008256483
-7.31305567486819,-52.8330955923591
-7.22154013402716,-43.2465728166031
-6.9783519835405,-49.7178933860359
-7.10626575085239,-52.6641309052169
-6.90798207903016,-42.5484818723574
-6.93467411177546,-44.6486832906082
-6.67385482037851,-48.4483137463794
-6.59149083362158,-40.1620144678705
-6.46729117105161,-49.9390989208547
-6.34744939137882,-45.4772031161567
-6.24622765681223,-36.3634850351233
-6.362701981519,-38.829776608849
-6.21398922765232,-43.0879831541099
-6.29406532588822,-49.6583380497386
-6.10849214584946,-31.6621167227086
-6.17967089983693,-45.3808636015581
-5.93944260512922,-34.8991244132236
-5.81360873647279,-29.6582548190565
-5.6191382121856,-32.7025834803742
-5.61532506465056,-35.8753648278234
-5.46834555966344,-25.2021143619838
-5.49330434352918,-29.1958251489829
-5.28531447798137,-32.355761227819
-5.26451549142659,-35.4848686619835
-5.17299995058556,-23.6466691081
-5.14554528833325,-27.6466857542364
-4.94421109848297,-34.0183059940359
-4.84213607216028,-24.0557415085497
-4.91370591820263,-28.3480374205146
-4.76118001680091,-19.4848020774378
-4.62390670553936,-31.5905502261496
-4.52183167921666,-22.9708103595309
-4.53239116469833,-26.9992842161334
-4.44087562385729,-18.0975130672171
-4.46375450906755,-32.9530662183307
-4.2709181908668,-27.5442906130058
-4.23038987992291,-21.5426141092652
-4.09515024734672,-17.840607694954
-4.09442393353052,-24.8577944344831
-3.95584325739981,-14.0743749375769
-4.05193457528289,-27.9241435562805
-3.7748458544031,-19.1251345562695
-3.86127719853074,-23.4668353475158
-3.65243404122684,-13.330930314151
-3.62867519889311,-17.2689932416686
-3.47996244502644,-20.1233954313489
-3.43420467460592,-8.84891966574554
-3.31523447151258,-12.848936311882
-3.3701437960172,-15.6466358158271
-3.13220338983051,-17.5425974631288
-3.09483454398708,-9.50402836501644
-2.99493007856896,-14.213103838599
-2.79359588871868,-6.53677131537766
-2.79359588871868,-9.74074831517315
-2.76744859133553,-14.2329222530308
-2.47329149577507,-7.24142605072788
-2.23941844695909,-9.7480884686664
-2.14154766022632,-4.89257693289383
-1.92419825072886,-7.99012170703747
-1.83268270988783,-2.8923851059883
-1.58482812011003,-6.76798615041444
-1.51237831694421,-0.492154913701626
-1.28358946484163,-5.1659976505167
-1.23783169442111,-1.29590172121047
-1.21495280921085,-8.27088257815358
-1.10055838315956,-4.45583780004657
-4.15254237288136,-30.7504078303425
-4.10411622276028,-35.1549755301794
-4.00726392251816,-39.5595432300163
-3.18401937046004,-35.6443719412724
-2.2639225181598,-35.1549755301794
-3.18401937046004,-28.3034257748776
-0.665859564164649,-3.83360522022835
-0.326876513317188,-1.8760195758564
1.85230024213075,24.5513866231648
-0.617433414043582,11.8270799347472
-3.18401937046004,22.5938009787929
-5.46004842615012,-5.79119086460028
-4.58837772397094,-10.1957585644372
-5.60532687651332,-16.557911908646
-6.76755447941888,-28.7928221859706
-7.590799031477,-26.3458401305057
-7.49394673123486,-63.0505709624796
-7.05811138014527,-62.0717781402936
-6.62227602905569,-61.0929853181077
-5.75060532687651,-52.2838499184339
-5.26634382566586,-48.858075040783
-5.84745762711864,-41.5171288743882
-5.26634382566586,-40.5383360522023
-5.70217917675545,-46.4110929853181
-15.9685230024213,-86.0522022838499
-16.1622276029056,-91.4355628058727
-16.501210653753,-98.7765089722675
-11.5133171912833,-109.05383360522
-15.2421307506053,-99.7553017944535
-21.3922518159806,-177.079934747145
-21.7796610169492,-164.355628058728
-21.3922518159806,-163.866231647635
-22.0217917675545,-157.014681892333
-27.2033898305085,-191.761827079935
-22.409200968523,-150.652528548124
-27.0581113801453,-204.975530179445
-27.590799031477,-212.31647634584
-28.6561743341404,-217.699836867863
-28.8983050847458,-221.615008156607
-29.7699757869249,-228.466557911909
-30.2542372881356,-230.913539967374
-30.4963680387409,-235.807504078303
-31.9007263922518,-247.063621533442
