Horizontal, cm	Vertical, cm
1	86
2	41
4	3
4	15
8	95
9	13
7	35
8	44
10	58
12	88
14	2
22	2
21	56
22	53
24	31
27	12
27	34
28	76
37	14
37	61
27	85
11	25
15	15
35	93
38	25
38	7
41	51
46	2
47	12
45	82
50	83
49	96
50	13
51	25
56	12
58	40
59	28
60	61
62	70
66	0
66	15
65	75
69	38
69	83
71	27
76	1
77	4
