date	x	y	T	CO2.flux
01/12/1998	428123	4520500	9.7	34.19
01/12/1998	428150	4520532	6.9	1793.39
01/12/1998	428146	4520546	6.2	1446.9
01/12/1998	428051	4520539	12	18.95
01/12/1998	428018	4520534	11.6	25.44
01/12/1998	428344	4520492	9.1	2.52
01/12/1998	428397	4520513	6.5	69.16
01/12/1998	428378	4520528	8.8	37.76
01/12/1998	428371	4520473	10.5	8.48
01/12/1998	428304	4520445	11.2	65.85
01/12/1998	428280	4520477	7.5	45.45
01/12/1998	428247	4520490	8.1	27.16
01/12/1998	428214	4520508	8.1	14.44
01/12/1998	428355	4520398	9.1	18.82
01/12/1998	428364	4520379	9.1	15.24
01/12/1998	428206	4520415	15.2	86.39
01/12/1998	427219	4520220	10.9	24.25
01/12/1998	427217	4520248	12.8	190.14
01/12/1998	427237	4520270	11.6	32.07
01/12/1998	427293	4520265	12.4	32.07
01/12/1998	427335	4520295	10.9	9.94
01/12/1998	427357	4520353	12.7	110.64
01/12/1998	427296	4520335	11.3	101.36
01/12/1998	427259	4520343	12.2	28.09
01/12/1998	427277	4520227	11.5	17.36
01/12/1998	427299	4520194	10.8	21.33
01/12/1998	427350	4520191	10.7	5.57
01/12/1998	427343	4520261	12	28.62
01/12/1998	427382	4520219	12.1	18.68
01/12/1998	427220	4520331	10.7	15.37
01/12/1998	427434	4520330	15.5	71.82
01/12/1998	427483	4520277	17.6	8.61
01/12/1998	427526	4520251	18.6	314.03
01/12/1998	427548	4520295	13.7	511.19
01/12/1998	427549	4520328	32.5	1906.15
01/12/1998	427591	4520326	56.7	3380.74
01/12/1998	427589	4520286	13.9	1488.64
01/12/1998	427590	4520249	26.5	887.62
01/12/1998	427587	4520219	29.7	1764.37
01/12/1998	427585	4520180	30.9	582.6
01/12/1998	427541	4520172	63.6	10401.78
01/12/1998	427461	4520190	22.1	3043.66
01/12/1998	427494	4520218	26.5	1805.45
01/12/1998	427426	4520243	9.2	25.97
01/12/1998	427515	4520161	56.1	1921.12
01/12/1998	427775	4520316	10.6	57.24
01/12/1998	427792	4520262	12.1	31.54
01/12/1998	427620	4520300	42.7	18424.13
01/12/1998	427672	4520309	37.8	357.09
01/12/1998	427691	4520283	97.6	9996.99
01/12/1998	427718	4520264	29.4	64
01/12/1998	427690	4520247	29.7	740.81
01/12/1998	427659	4520285	89.7	25878.58
01/12/1998	427645	4520253	13.1	126.01
01/12/1998	427644	4520214	15.3	1132.35
01/12/1998	427645	4520174	18.1	863.5
01/12/1998	427687	4520175	30.3	1501.49
01/12/1998	427689	4520214	28.5	2982.84
01/12/1998	427742	4520206	37.7	3647.33
01/12/1998	427811	4520317	10.6	6.1
01/12/1998	427817	4520255	13.4	16.03
01/12/1998	427814	4520194	12.5	161.78
01/12/1998	427871	4520196	10.4	2.65
01/12/1998	427907	4520220	8.4	23.19
01/12/1998	427866	4520234	13.5	124.02
01/12/1998	427893	4520269	12.7	104.01
01/12/1998	427904	4520290	10.4	42.93
01/12/1998	427863	4520306	13.8	12.46
01/12/1998	427886	4520306	10.5	5.04
01/12/1998	427877	4520347	12.7	9.81
01/12/1998	427934	4520307	18	196.23
01/12/1998	428122	4520342	20.2	767.31
01/12/1998	428118	4520316	17	178.08
01/12/1998	428132	4520325	98	51940
01/12/1998	428174	4520328	64	1963.78
01/12/1998	428181	4520300	96.4	4839.3
01/12/1998	428136	4520282	20.6	1074.31
01/12/1998	428095	4520296	17	83.34
01/12/1998	428060	4520289	35.1	3486.87
01/12/1998	428054	4520340	18.2	23.59
01/12/1998	428085	4520247	17.6	14.71
01/12/1998	428135	4520225	16.3	35.91
01/12/1998	428092	4520194	11.3	13.12
01/12/1998	428118	4520173	10.9	15.24
01/12/1998	428173	4520199	12.1	17.89
01/12/1998	428184	4520255	9.1	11.26
01/12/1998	428212	4520339	23.5	639.31
01/12/1998	428276	4520338	16.7	191.86
01/12/1998	428322	4520344	9.5	14.97
01/12/1998	428313	4520292	9.2	11.4
01/12/1998	428273	4520299	10.4	29.42
01/12/1998	428289	4520259	8.6	9.81
01/12/1998	428300	4520227	9.2	21.33
01/12/1998	428294	4520187	8.4	9.94
01/12/1998	427363	4520140	20.4	167.88
01/12/1998	427342	4520093	17.1	30.87
01/12/1998	427279	4520107	15.2	488.66
