kyears	sea	temp	CO2
0	8.96	0	312.715517241379
1	7.72	-0.42737295890129	277.884609375
2	5.96	-0.931680602522345	277.996593699947
3	3.54	-0.0180541541981472	275.492744479495
4	1.88	-0.560886311071759	274.188863441168
5	0	-0.616475719507632	269.17744510978
6	-2	0.0381283206561219	266.691772641822
7	-5.38	-0.657493974898753	257.880612993108
8	-7.12	-1.47831400344943	260.593633838923
9	-11.6	-0.996389134246304	260.285218815124
10	-23.18	-0.4113074076314	264.189583480161
11	-36.19	-0.217435160469654	266.656859553056
12	-49.72	-1.98057978040781	252.605493851646
13	-64.58	-3.99559476819825	239.300763131814
14	-75.97	-3.17754705799591	236.055209551657
15	-86.08	-5.09464852592319	228.028728323699
16	-98.43	-6.87523908470059	224.278680688336
17	-108.23	-7.84314151556674	204.200401730531
18	-113.85	-8.97679190019888	188.672644245603
19	-117	-9.90289328652157	192.647022079638
20	-116.4	-9.23989797228475	194.044566088117
21	-118.61	-9.51773910508441	190.019158435018
22	-125.91	-9.45561012933162	188.711403212172
23	-128.71	-8.63218406173183	189.742424242424
24	-130	-10.2532821640792	184.089342815105
25	-124.87	-9.90287242058045	180.652246153846
26	-119.21	-10.1948580694616	184.66052173913
27	-114.93	-9.73589704678958	187.722721010333
28	-112.19	-10.1305204983733	189.434689766317
29	-107.65	-8.68433859011884	192.927562189055
30	-102.07	-8.95880345914914	191.537609756098
31	-99.97	-8.86670755732852	188.743902883156
32	-96.01	-7.2014168045888	193.092817204301
33	-93.69	-8.44245037118501	196.355995316159
34	-93.5	-9.52	195.470797799175
35	-97.21	-7.36515765808678	200.51328545781
36	-97.2	-8.07848582056653	200.79018813314
37	-93.4	-6.68702404256932	205.562272727273
38	-91.82	-7.54344983223981	211.218547008547
39	-88.47	-7.31317287962976	202.926041666667
40	-83.13	-7.42160036264434	194.086392405063
41	-78.15	-7.8841472906404	201.169077194733
42	-74.61	-8.77923914350795	200.131618529135
43	-73.02	-7.13607193277595	204.087721897846
44	-72.61	-8.66357530925779	203.438467102275
45	-71.01	-7.70513032808346	211.396803784451
46	-70.25	-6.18401505261092	222.072205637554
47	-71.4	-6.28890575788493	210.517956035091
48	-72.53	-8.01112004206316	205.76467737895
49	-70.54	-7.64535413602831	201.524154524966
50	-66.69	-7.52710226878246	204.368065351019
51	-65.99	-6.87310773515422	207.62662886639
52	-68.05	-5.04450114980483	214.17599336132
53	-69.87	-5.48662218504049	222.815305843712
54	-71.66	-6.61156520357396	220.714175824176
55	-74.43	-6.24389792794677	216.725464236589
56	-78.68	-7.81983173062935	209.552041576361
57	-81.58	-6.26550366205901	214.727843813617
58	-81.85	-5.98329899740573	223.983753114201
59	-76.51	-5.75946159314294	230.016803423893
60	-77.47	-6.59962632864316	218.642107807975
61	-78.58	-7.60693967940825	209.409057798241
62	-79.92	-8.60600274844419	205.797694728923
63	-79.92	-9.82902501265828	199.969252298744
64	-77.22	-7.67156980953254	198.423811894882
65	-78.75	-7.72	199.821422197435
66	-80.56	-9.54450297112577	201.06507568515
67	-80.05	-9.31520267053271	206.520864799369
68	-68.37	-8.68144490120144	201.430046817603
69	-64.56	-8.9719663390035	205.06847098843
70	-60.11	-7.49814325167039	215.063699308906
71	-50.56	-6.38485675230937	227.170087068228
72	-43.6	-7.05629945184479	239.018224772021
73	-38.44	-6.80933475252803	231.783967391304
74	-33.23	-5.52498851054941	231.993705687325
75	-27.81	-6.33612492419636	243.01564171123
76	-26.3	-6.7939246636771	245.950508542916
77	-26.85	-6.04202655889145	232.673824428754
78	-27.39	-5.99297318155508	226.349465395951
79	-32.53	-6.53410990269037	227.435433056576
80	-32.48	-4.98746840521572	233.621852408308
81	-32.68	-5.35123260036313	231.861309079666
82	-31.47	-4.31899846255214	237.973723975823
83	-24.15	-3.05272661697527	246.336183087391
84	-27.87	-3.6086225229579	249.707431699237
